province_id,province_name,min_rain,max_rain,avg_rain,year_no,month_no,date,plant,produce_value
71,กาญจนบุรี,51.09999847,167.3899994,124.0510101,2018,4,04-01-18,ทุเรียน,0
71,กาญจนบุรี,141.6999969,200.5200043,150.2592621,2018,5,05-01-18,ทุเรียน,0
71,กาญจนบุรี,32.75999832,321.1700134,166.0341644,2018,6,06-01-18,ทุเรียน,41
71,กาญจนบุรี,23.23999977,501.25,230.995285,2018,7,07-01-18,ทุเรียน,248
71,กาญจนบุรี,66.86000061,425.1600037,219.7798462,2018,8,08-01-18,ทุเรียน,182
71,กาญจนบุรี,89.02999878,216.2100067,150.4854126,2018,9,09-01-18,ทุเรียน,41
71,กาญจนบุรี,93.56999969,231.1000061,156.533371,2018,10,10-01-18,ทุเรียน,0
71,กาญจนบุรี,8.829999924,18.93000031,14.17836571,2018,11,11-01-18,ทุเรียน,0
71,กาญจนบุรี,7.059999943,43.70999908,29.47323608,2018,12,12-01-18,ทุเรียน,0
76,เพชรบุรี,6.539999962,19.11000061,12.24053097,2018,1,01-01-18,ทุเรียน,0
76,เพชรบุรี,11.46000004,76.75,39.55510712,2018,2,02-01-18,ทุเรียน,0
76,เพชรบุรี,16.04999924,66.09999847,36.44353104,2018,3,03-01-18,ทุเรียน,0
76,เพชรบุรี,121.5500031,198.9400024,162.1978302,2018,4,04-01-18,ทุเรียน,0
76,เพชรบุรี,57.40999985,257.7600098,137.8790283,2018,5,05-01-18,ทุเรียน,0
76,เพชรบุรี,70.58000183,137.1600037,94.37057495,2018,6,06-01-18,ทุเรียน,6
76,เพชรบุรี,39.79000092,71.19999695,61.00285721,2018,7,07-01-18,ทุเรียน,76
76,เพชรบุรี,44.90000153,94.22000122,65.83644867,2018,8,08-01-18,ทุเรียน,42
76,เพชรบุรี,84.70999908,213.5500031,139.0303192,2018,9,09-01-18,ทุเรียน,1
76,เพชรบุรี,189.0899963,360.1900024,284.8492737,2018,10,10-01-18,ทุเรียน,0
76,เพชรบุรี,28.45000076,156,86.42845154,2018,11,11-01-18,ทุเรียน,0
76,เพชรบุรี,28.20000076,107.0899963,61.14791107,2018,12,12-01-18,ทุเรียน,0
77,ประจวบคีรีขันธ์,14.5,54.70999908,28.62067986,2018,1,01-01-18,ทุเรียน,0
77,ประจวบคีรีขันธ์,44.02000046,81.91000366,67.61297607,2018,2,02-01-18,ทุเรียน,0
77,ประจวบคีรีขันธ์,13.30000019,63.36999893,28.56350136,2018,3,03-01-18,ทุเรียน,522
77,ประจวบคีรีขันธ์,124.0100021,223.7799988,174.1466217,2018,4,04-01-18,ทุเรียน,12
77,ประจวบคีรีขันธ์,76.70999908,260.8099976,136.7033844,2018,5,05-01-18,ทุเรียน,0
77,ประจวบคีรีขันธ์,66.61000061,231.1100006,116.9567108,2018,6,06-01-18,ทุเรียน,1064
77,ประจวบคีรีขันธ์,59.90999985,304.5700073,124.8422852,2018,7,07-01-18,ทุเรียน,777
77,ประจวบคีรีขันธ์,70.62000275,263.7799988,150.8149414,2018,8,08-01-18,ทุเรียน,130
77,ประจวบคีรีขันธ์,62.11000061,147.8899994,112.081131,2018,9,09-01-18,ทุเรียน,0
77,ประจวบคีรีขันธ์,186.3800049,355.5899963,285.7970886,2018,10,10-01-18,ทุเรียน,0
77,ประจวบคีรีขันธ์,121.7699966,272.0599976,179.451004,2018,11,11-01-18,ทุเรียน,0
77,ประจวบคีรีขันธ์,79.13999939,247.1399994,114.2962646,2018,12,12-01-18,ทุเรียน,0
86,ชุมพร,9.800000191,99.97000122,64.89704895,2018,1,01-01-18,ทุเรียน,7352
86,ชุมพร,9.659999847,111.1900024,71.19020081,2018,2,02-01-18,ทุเรียน,9735
86,ชุมพร,58.20999908,103.6600037,73.61399078,2018,3,03-01-18,ทุเรียน,6361
86,ชุมพร,200.0899963,265.2999878,221.706192,2018,4,04-01-18,ทุเรียน,139
86,ชุมพร,82.5,446.480011,197.5971832,2018,5,05-01-18,ทุเรียน,5897
86,ชุมพร,180.8300018,744.5499878,312.8516541,2018,6,06-01-18,ทุเรียน,11051
86,ชุมพร,260.7000122,989.3300171,416.5722961,2018,7,07-01-18,ทุเรียน,38166
86,ชุมพร,174.4400024,918.3800049,349.2605286,2018,8,08-01-18,ทุเรียน,40164
86,ชุมพร,115.4100037,493.1600037,197.8309174,2018,9,09-01-18,ทุเรียน,13620
86,ชุมพร,158.6199951,297.8299866,217.9064484,2018,10,10-01-18,ทุเรียน,9333
86,ชุมพร,152.6999969,394.75,269.5647583,2018,11,11-01-18,ทุเรียน,7770
86,ชุมพร,108.0899963,382.4400024,263.6278076,2018,12,12-01-18,ทุเรียน,5185
85,ระนอง,51.52999878,145.5800018,85.40519714,2018,1,01-01-18,ทุเรียน,163
85,ระนอง,3.619999886,96.01999664,41.25007629,2018,2,02-01-18,ทุเรียน,273
85,ระนอง,65.5,110.5,89.8210144,2018,3,03-01-18,ทุเรียน,315
85,ระนอง,198.0099945,233.9400024,210.9667816,2018,4,04-01-18,ทุเรียน,341
85,ระนอง,140.1399994,470.9100037,320.1761475,2018,5,05-01-18,ทุเรียน,727
85,ระนอง,226.9499969,793.3099976,492.883667,2018,6,06-01-18,ทุเรียน,3322
85,ระนอง,313.6499939,1054.849976,654.0140991,2018,7,07-01-18,ทุเรียน,7438
85,ระนอง,235.2799988,984.0499878,582.6883545,2018,8,08-01-18,ทุเรียน,7715
85,ระนอง,138.7899933,524.0800171,334.5859985,2018,9,09-01-18,ทุเรียน,2049
85,ระนอง,182.2200012,307.1600037,252.890625,2018,10,10-01-18,ทุเรียน,683
85,ระนอง,102.1900024,343.7200012,200.1122894,2018,11,11-01-18,ทุเรียน,683
85,ระนอง,88.18000031,332.980011,203.7678986,2018,12,12-01-18,ทุเรียน,683
84,สุราษฎร์ธานี,54.11999893,258.8999939,123.0576782,2018,1,01-01-18,ทุเรียน,393
84,สุราษฎร์ธานี,2,80.08999634,18.02221107,2018,2,02-01-18,ทุเรียน,81
84,สุราษฎร์ธานี,43.02000046,139.1699982,89.69182587,2018,3,03-01-18,ทุเรียน,33
84,สุราษฎร์ธานี,111.4100037,256.4299927,180.6929474,2018,4,04-01-18,ทุเรียน,0
84,สุราษฎร์ธานี,122.25,368.3599854,231.3120422,2018,5,05-01-18,ทุเรียน,0
84,สุราษฎร์ธานี,75.15000153,558.3400269,217.2162781,2018,6,06-01-18,ทุเรียน,20
84,สุราษฎร์ธานี,72.36000061,728.9500122,248.8718567,2018,7,07-01-18,ทุเรียน,4414
84,สุราษฎร์ธานี,54.63999939,660.7399902,200.898407,2018,8,08-01-18,ทุเรียน,13907
84,สุราษฎร์ธานี,47.59999847,384.8999939,204.0749817,2018,9,09-01-18,ทุเรียน,6520
84,สุราษฎร์ธานี,162.7200012,332.5700073,224.2480774,2018,10,10-01-18,ทุเรียน,0
84,สุราษฎร์ธานี,41.65999985,313.1000061,105.1594543,2018,11,11-01-18,ทุเรียน,0
84,สุราษฎร์ธานี,135.2599945,664.5200195,299.3016052,2018,12,12-01-18,ทุเรียน,0
82,พังงา,123.5,262.4299927,233.1499939,2018,1,01-01-18,ทุเรียน,0
82,พังงา,22.04999924,117.8700027,68.85538483,2018,2,02-01-18,ทุเรียน,0
82,พังงา,63.31999969,139.5899963,121.3536606,2018,3,03-01-18,ทุเรียน,0
82,พังงา,91.86000061,322.5499878,227.0980377,2018,4,04-01-18,ทุเรียน,0
82,พังงา,260.7200012,438.3500061,355.8696899,2018,5,05-01-18,ทุเรียน,27
82,พังงา,298.7999878,558.1300049,375.1922302,2018,6,06-01-18,ทุเรียน,1109
82,พังงา,172.1300049,541.0999756,391.0162964,2018,7,07-01-18,ทุเรียน,1379
82,พังงา,223.3600006,480.7999878,352.3486023,2018,8,08-01-18,ทุเรียน,189
82,พังงา,276.8599854,482.0299988,369.3334656,2018,9,09-01-18,ทุเรียน,0
82,พังงา,233.1900024,381.9700012,318.0802002,2018,10,10-01-18,ทุเรียน,0
82,พังงา,34.11000061,116.9499969,49.69075775,2018,11,11-01-18,ทุเรียน,0
82,พังงา,74.51000214,225.0599976,132.2891693,2018,12,12-01-18,ทุเรียน,0
