year,plant,region_province,type,month_01,month_02,month_03,month_04,month_05,month_06,month_07,month_08,month_09,month_10,month_11,month_12, percentage_per_ton 
2551,เงาะ,ศรีสะเกษ, ร้อยละ , -   , -   , -   , -   , 19.85 , 69.51 , 10.64 , -   , -   , -   , -   , -   , 100.00 
2551,เงาะ,ศรีสะเกษ, ปริมาณ , -   , -   , -   , -   , 752 ," 2,632 ", 403 , -   , -   , -   , -   , -   ," 3,787 "
2551,เงาะ,ปราจีนบุรี, ร้อยละ , -   , -   , -   , 1.94 , 79.18 , 18.88 , -   , -   , -   , -   , -   , -   , 100.00 
2551,เงาะ,ปราจีนบุรี, ปริมาณ , -   , -   , -   , 18 , 725 , 173 , -   , -   , -   , -   , -   , -   , 916 
2551,เงาะ,จันทบุรี, ร้อยละ , -   , -   , -   , 0.20 , 41.27 , 52.18 , 6.35 , -   , -   , -   , -   , -   , 100.00 
2551,เงาะ,จันทบุรี, ปริมาณ , -   , -   , -   , 358 ," 73,868 "," 93,395 "," 11,366 ", -   , -   , -   , -   , -   ," 178,987 "
2551,เงาะ,ตราด, ร้อยละ , -   , -   , 0.31 , 28.28 , 62.02 , 8.86 , 0.53 , -   , -   , -   , -   , -   , 100.00 
2551,เงาะ,ตราด, ปริมาณ , -   , -   , 269 ," 24,583 "," 53,912 "," 7,702 ", 461 , -   , -   , -   , -   , -   ," 86,927 "
2551,เงาะ,ระยอง, ร้อยละ , -   , -   , 0.32 , 7.22 , 58.91 , 33.25 , 0.30 , -   , -   , -   , -   , -   , 100.00 
2551,เงาะ,ระยอง, ปริมาณ , -   , -   , 47 ," 1,066 "," 8,697 "," 4,909 ", 44 , -   , -   , -   , -   , -   ," 14,763 "
2551,เงาะ,ชลบุรี, ร้อยละ , -   , -   , -   , 2.64 , 55.06 , 42.30 , -   , -   , -   , -   , -   , -   , 100.00 
2551,เงาะ,ชลบุรี, ปริมาณ , -   , -   , -   , 3 , 66 , 51 , -   , -   , -   , -   , -   , -   , 120 
2551,เงาะ,กาญจนบุรี, ร้อยละ , -   , -   , -   , -   , 5.07 , 9.44 , 62.92 , 20.53 , 2.04 , -   , -   , -   , 100.00 
2551,เงาะ,กาญจนบุรี, ปริมาณ , -   , -   , -   , -   , 31 , 58 , 389 , 127 , 13 , -   , -   , -   , 618 
2551,เงาะ,ประจวบคีรีขันธ์, ร้อยละ , -   , -   , -   , -   , 1.11 , 51.21 , 47.12 , 0.56 , -   , -   , -   , -   , 100.00 
2551,เงาะ,ประจวบคีรีขันธ์, ปริมาณ , -   , -   , -   , -   , 2 , 70 , 65 , 1 , -   , -   , -   , -   , 138 
2551,เงาะ,ชุมพร, ร้อยละ , -   , -   , -   , -   , 5.74 , 13.19 , 23.68 , 50.94 , 6.45 , -   , -   , -   , 100.00 
2551,เงาะ,ชุมพร, ปริมาณ , -   , -   , -   , -   , 517 ," 1,189 "," 2,135 "," 4,592 ", 581 , -   , -   , -   ," 9,014 "
2551,เงาะ,ระนอง, ร้อยละ , -   , -   , -   , 0.17 , 3.12 , 15.40 , 50.26 , 30.25 , 0.80 , -   , -   , -   , 100.00 
2551,เงาะ,ระนอง, ปริมาณ , -   , -   , -   , 3 , 62 , 305 , 996 , 600 , 16 , -   , -   , -   ," 1,982 "
2551,เงาะ,สุราษฎร์ธานี, ร้อยละ , -   , -   , -   , -   , 0.08 , 4.26 , 52.88 , 39.54 , 3.24 , -   , -   , -   , 100.00 
2551,เงาะ,สุราษฎร์ธานี, ปริมาณ , -   , -   , -   , -   , 33 ," 1,742 "," 21,623 "," 16,168 "," 1,325 ", -   , -   , -   ," 40,891 "
2551,เงาะ,พังงา, ร้อยละ , -   , -   , -   , -   , 6.65 , 39.19 , 42.36 , 11.80 , -   , -   , -   , -   , 100.00 
2551,เงาะ,พังงา, ปริมาณ , -   , -   , -   , -   , 245 ," 1,447 "," 1,563 ", 436 , -   , -   , -   , -   ," 3,691 "
2551,เงาะ,ภูเก็ต, ร้อยละ , -   , -   , -   , -   , -   , 45.00 , 55.00 , -   , -   , -   , -   , -   , 100.00 
2551,เงาะ,ภูเก็ต, ปริมาณ , -   , -   , -   , -   , -   , 60 , 74 , -   , -   , -   , -   , -   , 134 
2551,เงาะ,กระบี่, ร้อยละ , -   , -   , -   , -   , 4.64 , 16.42 , 40.53 , 25.06 , 9.83 , 3.52 , -   , -   , 100.00 
